id;teacher_first_name;teacher_last_name;gender;birth_date;teacher_code
1;Multi-channelled Licensed;grey Cambridgeshire;Female;Table Small Frozen Sausages Planner;envisioneer Music Public-key
2;infomediaries;Investment Account;Male;copy convergence;Mayotte
3;Industrial;connect Markets Chief;Male;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands
4;compelling mission-critical;bifurcated scalable;Male;deliverables reinvent 24 hour;overriding
5;monitor 1080p Checking Account;world-class Frozen IB;Male;moratorium moratorium;New York tangible Mississippi
6;Frozen bus;hard drive Robust Networked;Female;Small partnerships;Outdoors
7;Harbor Montana;Corporate Phased relationships;Male;Salad Web virtual;Refined Squares
8;maroon;EXE projection Fresh;Male;withdrawal;copying
9;ability Hat Iraq;magenta Concrete;Male;Mauritania;facilitate Tasty Concrete Chips Exclusive
10;Buckinghamshire capability zero tolerance;mission-critical;Male;Canadian Dollar;Berkshire Designer
